place_id,name,rating,latitude,longitude,vicinity
ChIJYTr97Aq6woARXShA1qTl-x8,Panaderia y Pupuseria Los Cocos,4.5,33.9895445,-118.4185705,"4804 S Centinela Ave, Los Angeles"
ChIJJa9uG9e5woARZn5TXt7vb0Q,La Cabañita Restaurant y Pupuseria,4.5,34.0231707,-118.300099,"3564 Normandie Ave #3429, Los Angeles"
ChIJxTkRqcXHwoARhBv-a22_m8U,RESTAURANT Y PUPUSERIA EMANUEL,5.0,34.0692925,-118.2932889,"3555 W 3rd St, Los Angeles"
ChIJSUKdTvfHwoAR0c7YB_q0-Bw,La Flor Blanca Salvadoreña,4.1,34.0258398,-118.2942563,"1279 W Jefferson Blvd, Los Angeles"
ChIJj4F-IYO5woARc6wMo5CRD0k,El Baron Restaurant & NightClub,4.0,34.0303766,-118.382565,"8641 Washington Blvd, Culver City"
ChIJXTr10Gi7woAReFvo4KrIOEc,MANOLY'S BAKERY & CAFE,4.4,34.0431907,-118.4579859,"11771 Santa Monica Blvd, Los Angeles"
ChIJ0eI6u0i7woARxEnqGDPD8YI,The Spot Street Pupusas,4.7,34.0264426,-118.4317981,"11321 national blv los ángeles California 90034, Los Angeles"
ChIJ5aoSTGi7woARDsK4B3MazNE,Tlaco Tacos,3.8,34.04192889999999,-118.4610944,"11923 Santa Monica Blvd, Los Angeles"
ChIJOYubl6XFwoARQu0ySUM5-iU,El Sereno Pupusa,4.9,34.0889513,-118.1700024,"5168 Huntington Dr S, Los Angeles"
ChIJ2f_qpr7QwoARLwrjHYkrYCk,Don Carlos Pupuseria,4.0,34.0626609,-118.037193,"10928 Garvey Ave, South El Monte"
ChIJ-XQM3A3DwoARk9BGt0PaaJE,EL Rinconcito Azteca,4.0,34.1576745,-118.1491235,"687 N Raymond Ave, Pasadena"
ChIJlaloIyPDwoARUVLN4FOE4VI,La Caravana Salvadorian Restaurant,4.1,34.1684137,-118.1318781,"1306 N Lake Ave, Pasadena"
ChIJn1GGPCPDwoAR2IMx5OBnIo8,Llego el Sabor,4.1,34.1684751,-118.1319934,"1308 N Lake Ave, Pasadena"
ChIJ6fC2lc7HwoAR_fLEHJIWyFc,Pupusa Lady,4.6,34.0756241,-118.2538233,"1467 W Sunset Blvd, Los Angeles"
ChIJA2Rx7ZXGwoARezPPDm6sdcM,Genesis,4.4,34.0925114,-118.2244765,"901 Cypress Ave, Los Angeles"
ChIJEWvw-dLBwoARkYj5myw6LmY,Villa's Tacos Los Angeles,4.7,34.1086638,-118.1968913,"5455 N Figueroa St, Los Angeles"
ChIJLeu5ij7DwoAR_OMTlM6SoNU,Mely's Pupuseria & Restaurant,3.8,34.1608603,-118.1326972,"863 N Lake Ave, Pasadena"
ChIJsQhIgpDGwoARtpWMP3oT6Ls,Maria's Restaurant,4.4,34.0876126,-118.2177378,"3401 N Figueroa St, Los Angeles"
ChIJGyy4Up7GwoARhfkbVbcHWZY,El Buen Sabor,4.2,34.0946675,-118.2081576,"4306 N Figueroa St, Los Angeles"
ChIJMbFO0SvBwoARGcjpsCNpu0I,El Amoroso,4.1,34.1123782,-118.249351,"2829 Fletcher Dr, Los Angeles"
ChIJtWZHNeLFwoAR9G0H9iFi_KU,PUPUSAS ELI,4.8,34.0892588,-118.1697179,"Huntington Dr S, Los Angeles"
ChIJwVo_Vc_GwoARXzeH2xeecYI,Salvamex Restaurant,4.6,34.1008978,-118.2351314,"1910 Cypress Ave, Los Angeles"
ChIJpZJCTADdwoARFPDodvQHl2Q,Melys Restaurant #2,4.3,34.1494608,-118.106597,"2122 E Foothill Blvd, Pasadena"
ChIJCTKNZAk03YARP4ILFt2q06I,Pupuseria Salvadorena,4.1,33.8040953,-118.2095647,"1336 W Willow St #102, Long Beach"
