place_id,name,rating,latitude,longitude,vicinity
ChIJQ9vtn_7OwoARWWB_DIZ4Sms,El Cafetalito,4.5,34.001897,-118.1650956,"5300 E Washington Blvd, Commerce"
ChIJW2eiC3PHwoAROTuuuoecakc,Cojutepeque Restaurant,4.1,34.0658334,-118.2787911,"2610 W 3rd St, Los Angeles"
ChIJYwx4szfIwoARk3NzMUGNNDs,Don Lencho,3.9,33.9852203,-118.2781054,"5974 S Broadway, Los Angeles"
ChIJjSTBjSXIwoAR5FDsIun74Ns,Paseo San Miguel,4.4,33.9848383,-118.2917032,"6051 Vermont Ave, Los Angeles"
ChIJnTkluATIwoARd-QFfnBQH_A,Santa Rosa Restaurant,4.4,34.0054815,-118.2742016,"4303 Main St, Los Angeles"
ChIJwwN_v6O4woAR_keeHHI05os,Jaragua,4.3,34.0764127,-118.306798,"4493 Beverly Blvd, Los Angeles"
ChIJK4UPOnTHwoARuDyWyhn8plA,Mi Nuevo Molcajete,4.2,34.0617369,-118.2807686,"2600 W 6th St, Los Angeles"
ChIJ46wo63DIwoARhCfzXXs9tn0,Mi Bandera Pupusería & Restaurante #2,4.4,34.0148161,-118.2657889,"3419 San Pedro St, Los Angeles"
ChIJRWHH0QTIwoARM8a-RFTc8lE,Reina's Pupuseria,3.9,34.005351,-118.2913305,"4300 S Vermont Ave, Los Angeles"
ChIJI54CXr_OwoARkccquEJULaA,El Zunzal Pupuseria,4.0,33.9797211,-118.1875839,"6311 Atlantic Ave, Bell"
ChIJ82fXVnbHwoARWHfeFEJoUUg,Los Molcajetes (Mariposa),4.2,34.0692679,-118.2994807,"269 S Mariposa Ave, Los Angeles"
ChIJ820J64G4woAREk7XpEd_KgY,Los Comales Cafe,4.1,34.0578254,-118.3007584,"3329 W 8th St, Los Angeles"
ChIJt1G2QQG5woAR5Qcj40q7ml8,Con Sabor,4.0,34.045642,-118.350646,"5105 Venice Blvd., Los Angeles"
ChIJbVe0-9rAwoARctOgw2C9nEQ,El Buen Gusto Restaurant,4.1,34.116674,-118.2619305,"3140 Glendale Blvd, Los Angeles"
ChIJt_RcBaHOwoARRDoFGCpexlM,Mar Y Sol Resturant Y Pupuseria,4.1,33.9621988,-118.1857358,"7940 Atlantic Ave, Cudahy"
ChIJw9d5cNbNwoARc6vLDxv1kG0,Pupuseria Comalapa,4.1,33.9655464,-118.1521767,"6320 Florence Ave, Bell Gardens"
ChIJN8mjbau5woARoYoD3Mvt49U,Menchita's,4.2,34.0378379,-118.3483156,"2116 S La Brea Ave, Los Angeles"
ChIJJYqr1HjHwoARW7G-WDQSni8,El Amanecer Salvadoreño,4.2,34.0578535,-118.2936485,"3059 W 8th St, Los Angeles"
ChIJhY5-6Qy5woAR5RREs38EayU,WOW PUPUSAS,5.0,34.0254199,-118.30834,"1772 W Jefferson Blvd, Los Angeles"
ChIJA5jlNDnJwoAREWBEG6qxK38,Gloria's Pupuseria,4.0,33.9748935,-118.2229961,"7119 Seville Ave B, Huntington Park"
ChIJ_-pGSo_HwoARWVWioRHHiFk,Ilopango Restaurant,4.0,34.0440874,-118.293342,"1744 Venice Blvd., Los Angeles"
ChIJMapwp3bHwoARmsynfQgGkgc,El Pueblo & Restaurant,3.7,34.0628198,-118.281867,"2719 W 6th St, Los Angeles"
